Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,130.630005,131.970001,129.550003,131.419998,131.419998,529200
2017-05-15,131.500000,134.910004,129.800003,134.429993,134.429993,1744000
2017-05-22,134.500000,139.020004,134.100006,138.589996,138.589996,1774800
2017-05-29,138.199997,142.490005,137.339996,141.550003,141.550003,1355700
2017-06-05,141.979996,145.580002,139.789993,141.229996,141.229996,1889500
2017-06-12,139.940002,143.710007,134.800003,143.389999,143.389999,1637100
2017-06-19,144.169998,147.449997,143.539993,144.490005,144.490005,1144100
2017-06-26,144.490005,145.399994,139.490005,143.300003,143.300003,1553800
2017-07-03,144.820007,145.500000,139.550003,142.050003,142.050003,730300
2017-07-10,142.119995,146.059998,140.000000,145.070007,145.070007,1216300
2017-07-17,145.500000,145.960007,142.820007,144.100006,144.100006,1193200
2017-07-24,144.100006,149.339996,141.559998,146.250000,146.250000,2590900
2017-07-31,147.020004,151.220001,144.509995,151.009995,151.009995,1601700
2017-08-07,151.669998,157.410004,149.880005,151.369995,151.369995,1637100
2017-08-14,152.600006,156.240005,151.949997,152.139999,152.139999,972900
2017-08-21,152.149994,155.589996,147.130005,147.669998,147.669998,1565200
2017-08-28,147.800003,151.589996,144.009995,151.059998,151.059998,1696600
2017-09-04,150.570007,157.880005,148.800003,156.899994,156.899994,1312900
2017-09-11,157.169998,159.800003,154.639999,158.580002,158.580002,1579400
2017-09-18,157.929993,164.600006,155.570007,163.960007,163.960007,1342000
2017-09-25,164.199997,171.000000,158.710007,168.600006,168.600006,1572500
2017-10-02,168.929993,175.600006,167.830002,174.880005,174.880005,1432300
2017-10-09,175.589996,175.720001,170.600006,173.850006,173.850006,1302600
2017-10-16,171.660004,175.789993,170.100006,174.619995,174.619995,1073700
2017-10-23,174.979996,183.960007,164.800003,181.070007,181.070007,3232400
2017-10-30,179.559998,195.020004,177.399994,194.899994,194.899994,2266500
2017-11-06,195.179993,198.289993,192.619995,195.210007,195.210007,1295300
2017-11-13,193.360001,196.479996,190.070007,194.320007,194.320007,1890900
2017-11-20,200.000000,200.000000,195.110001,199.740005,199.740005,1128400
2017-11-27,199.979996,200.279999,189.259995,194.600006,194.600006,2225200
2017-12-04,196.520004,196.539993,186.720001,191.360001,191.360001,1801300
2017-12-11,191.360001,195.130005,188.139999,188.710007,188.710007,1311300
2017-12-18,190.009995,195.649994,189.050003,191.639999,191.639999,951700
2017-12-25,191.309998,191.619995,187.009995,187.410004,187.410004,682300
2018-01-01,188.130005,202.960007,188.050003,202.320007,202.320007,1020600
2018-01-08,208.240005,216.149994,204.669998,215.110001,215.110001,1288000
2018-01-15,216.690002,229.050003,216.000000,228.289993,228.289993,1605300
2018-01-22,229.229996,239.100006,226.830002,238.889999,238.889999,1271500
