,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,2017-05-10,130.630005,131.820007,129.830002,131.800003,131.800003,166900,0.0
1,2017-05-11,131.330002,131.58999599999999,129.550003,130.850006,130.850006,181600,2.0072601983678933
2,2017-05-12,130.279999,131.970001,130.279999,131.419998,131.419998,180700,1.995662821422353
3,2017-05-15,131.5,134.71000700000002,131.059998,134.509995,134.509995,346400,1.9770277517295274
4,2017-05-16,133.639999,133.990005,132.029999,133.83999599999999,133.83999599999999,337000,2.005005969964315
5,2017-05-17,132.28999299999998,132.83999599999999,130.470001,130.53999299999998,130.53999299999998,316000,2.0252796321200965
6,2017-05-18,129.96000700000002,133.880005,129.800003,133.240005,133.240005,508100,1.9797357257679478
7,2017-05-19,134.0,134.91000400000001,132.630005,134.429993,134.429993,236500,1.991147898073609
8,2017-05-22,134.5,137.0,134.5,135.800003,135.800003,384700,1.98991156134216
9,2017-05-23,136.619995,136.630005,134.550003,134.740005,134.740005,224700,2.0078669879817803
10,2017-05-24,135.0,135.440002,134.100006,134.899994,134.899994,422300,1.998814017738207
11,2017-05-25,135.330002,136.740005,134.389999,135.880005,135.880005,282000,1.9927876732121106
12,2017-05-26,135.690002,139.020004,135.690002,138.58999599999999,138.58999599999999,461100,1.9804459839944006
13,2017-05-30,138.199997,140.619995,138.199997,139.720001,139.720001,400200,1.9919123604930404
14,2017-05-31,139.740005,141.240005,137.33999599999999,137.429993,137.429993,336100,2.0166630875110356
15,2017-06-01,137.449997,141.860001,137.449997,141.0,141.0,318600,1.9746808014184394
16,2017-06-02,141.119995,142.490005,140.610001,141.550003,141.550003,300800,1.996114426080231
17,2017-06-05,141.979996,142.949997,140.850006,141.809998,141.809998,153700,1.9981665961239206
18,2017-06-06,141.46000700000002,143.0,140.0,142.149994,142.149994,488700,1.9976081884322838
19,2017-06-07,142.630005,143.0,141.520004,142.059998,142.059998,291200,2.000633506977805
20,2017-06-08,143.0,143.75,141.58999599999999,142.83999599999999,142.83999599999999,609700,1.9945393585701305
