Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-September-2020,30.25,30.45,28.00,28.00,29.616666666666666666,12000,6,355400.00,10000,83.33,2.45,-2.25
1-September-2020,28.00,32.90,25.00,30.40,27.806666666666666666,30000,15,834200.00,18000,60.00,7.90,2.40
31-August-2020,33.10,33.10,29.25,29.55,30.495238095238095238,42000,18,1280800.00,36000,85.71,3.85,-3.55
28-August-2020,34.40,34.40,33.10,33.10,33.500000000000000000,8000,4,268000.00,8000,100.00,1.30,-1.30
27-August-2020,35.00,35.00,33.00,33.10,33.980555555555555555,36000,18,1223300.00,20000,55.56,2.00,-1.90
26-August-2020,34.05,35.25,32.50,34.50,34.126785714285714285,56000,27,1911100.00,34000,60.71,2.75,0.45
25-August-2020,36.85,36.85,36.85,36.85,36.850000000000000000,2000,1,73700.00,2000,100.00,0.00,0.00
24-August-2020,36.00,36.85,31.90,33.80,33.700000000000000000,58000,26,1954600.00,36000,62.07,4.95,-2.20
21-August-2020,40.50,40.50,38.00,38.00,39.250000000000000000,4000,2,157000.00,4000,100.00,2.50,-2.50
19-August-2020,39.95,43.20,29.55,43.05,39.661764705882352941,34000,14,1348500.00,18000,52.94,13.65,3.10
18-August-2020,36.05,36.05,35.00,36.00,35.762500000000000000,8000,4,286100.00,6000,75.00,1.05,-0.05
14-August-2020,38.00,41.25,38.00,38.05,39.779166666666666666,24000,8,954700.00,22000,91.67,3.25,0.05
13-August-2020,38.00,44.85,38.00,44.85,41.425000000000000000,4000,2,165700.00,4000,100.00,6.85,6.85
12-August-2020,38.00,43.15,38.00,38.00,39.716666666666666666,6000,3,238300.00,6000,100.00,5.15,0.00
11-August-2020,39.00,39.00,36.00,36.00,37.500000000000000000,8000,4,300000.00,8000,100.00,3.00,-3.00
6-August-2020,40.00,40.15,39.50,39.50,39.883333333333333333,6000,3,239300.00,6000,100.00,0.65,-0.50
5-August-2020,44.00,44.00,40.00,42.50,42.166666666666666666,6000,3,253000.00,6000,100.00,4.00,-1.50
4-August-2020,45.00,45.00,45.00,45.00,45.000000000000000000,2000,1,90000.00,2000,100.00,0.00,0.00
30-July-2020,45.00,45.00,45.00,45.00,45.000000000000000000,2000,1,90000.00,2000,100.00,0.00,0.00
29-July-2020,46.00,46.00,46.00,46.00,46.000000000000000000,2000,1,92000.00,2000,100.00,0.00,0.00
16-July-2020,45.00,45.00,45.00,45.00,45.000000000000000000,2000,1,90000.00,2000,100.00,0.00,0.00
13-July-2020,47.05,47.05,47.05,47.05,47.050000000000000000,2000,1,94100.00,2000,100.00,0.00,0.00
19-June-2020,47.05,47.05,46.00,46.50,46.775000000000000000,12000,6,561300.00,4000,33.33,1.05,-0.55
17-June-2020,54.65,54.65,54.65,54.65,54.650000000000000000,2000,1,109300.00,2000,100.00,0.00,0.00
16-June-2020,45.55,45.55,45.55,45.55,45.550000000000000000,2000,1,91100.00,2000,100.00,0.00,0.00
29-May-2020,43.20,43.20,43.20,43.20,43.200000000000000000,2000,1,86400.00,2000,100.00,0.00,0.00
