Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,10.83,10.83,10.83,10.83,10.830000000000000000,800,2,8664.00,800,100.00,0.00,0.00
4-January-2021,10.83,10.83,10.83,10.83,10.829888712241653418,1258,3,13624.00,1258,100.00,0.00,0.00
31-December-2020,10.83,11.97,10.83,11.40,11.615485564304461942,762,8,8851.00,762,100.00,1.14,0.57
30-December-2020,11.40,11.40,11.40,11.40,11.400000000000000000,40,2,456.00,40,100.00,0.00,0.00
29-December-2020,12.00,12.00,12.00,12.00,12.000000000000000000,13,1,156.00,13,100.00,0.00,0.00
3-April-2019,12.46,12.46,12.00,12.00,12.028037383177570093,214,2,2574.00,214,100.00,0.46,-0.46
1-April-2019,12.46,12.46,12.46,12.46,12.437500000000000000,16,1,199.00,16,100.00,0.00,0.00
1-February-2019,13.11,13.11,13.11,13.11,13.000000000000000000,3,1,39.00,3,100.00,0.00,0.00
15-October-2018,13.11,13.11,13.11,13.11,13.100000000000000000,10,1,131.00,10,100.00,0.00,0.00
3-September-2018,13.11,13.11,13.11,13.11,13.090909090909090909,11,2,144.00,11,100.00,0.00,0.00
7-August-2018,13.11,13.11,13.11,13.11,13.100000000000000000,10,1,131.00,10,100.00,0.00,0.00
3-August-2018,13.11,13.11,13.11,13.11,13.100000000000000000,10,1,131.00,10,100.00,0.00,0.00
29-January-2018,13.79,13.79,13.79,13.79,13.000000000000000000,1,1,13.00,1,100.00,0.00,0.00
24-January-2018,13.80,13.80,13.80,13.80,13.000000000000000000,1,1,13.00,1,100.00,0.00,0.00
14-July-2017,13.34,13.34,13.34,13.34,13.325000000000000000,40,1,533.00,40,100.00,0.00,0.00
13-July-2017,13.34,13.34,13.34,13.34,13.340000000000000000,550,2,7337.00,550,100.00,0.00,0.00
12-July-2017,13.34,13.34,13.34,13.34,13.340000000000000000,50,1,667.00,50,100.00,0.00,0.00
4-July-2017,13.34,13.34,13.34,13.34,13.300000000000000000,20,1,266.00,20,100.00,0.00,0.00
30-June-2017,13.34,13.34,13.34,13.34,13.300000000000000000,20,1,266.00,20,100.00,0.00,0.00
29-June-2017,13.34,13.34,13.34,13.34,13.300000000000000000,20,1,266.00,20,100.00,0.00,0.00
28-June-2017,13.34,13.34,13.34,13.34,13.300000000000000000,20,1,266.00,20,100.00,0.00,0.00
15-June-2017,13.34,13.34,13.34,13.34,13.300000000000000000,20,1,266.00,20,100.00,0.00,0.00
1-June-2017,13.19,13.19,13.19,13.19,13.188000000000000000,250,2,3297.00,250,100.00,0.00,0.00
25-April-2017,12.94,12.94,12.94,12.94,12.940000000000000000,100,1,1294.00,100,100.00,0.00,0.00
24-April-2017,12.69,12.69,12.69,12.69,12.680000000000000000,50,1,634.00,50,100.00,0.00,0.00
21-April-2017,12.45,12.45,12.45,12.45,12.439560439560439560,91,2,1132.00,91,100.00,0.00,0.00
20-April-2017,12.21,12.21,12.21,12.21,12.200000000000000000,50,1,610.00,50,100.00,0.00,0.00
19-April-2017,11.63,11.63,11.63,11.63,11.620000000000000000,50,1,581.00,50,100.00,0.00,0.00
18-April-2017,11.08,11.08,11.08,11.08,11.080000000000000000,50,1,554.00,50,100.00,0.00,0.00
17-April-2017,10.56,10.56,10.56,10.56,10.560000000000000000,50,1,528.00,50,100.00,0.00,0.00
13-April-2017,10.06,10.06,10.06,10.06,10.060000000000000000,50,1,503.00,50,100.00,0.00,0.00
12-April-2017,9.59,9.59,9.59,9.59,9.580000000000000000,50,1,479.00,50,100.00,0.00,0.00
11-April-2017,9.14,9.14,9.14,9.14,9.140000000000000000,50,1,457.00,50,100.00,0.00,0.00
10-April-2017,8.71,8.71,8.71,8.71,8.700000000000000000,50,1,435.00,50,100.00,0.00,0.00
7-April-2017,8.30,8.30,8.30,8.30,8.300000000000000000,50,1,415.00,50,100.00,0.00,0.00
6-April-2017,7.95,7.95,7.95,7.95,7.940000000000000000,50,1,397.00,50,100.00,0.00,0.00
5-April-2017,7.58,7.58,7.58,7.58,7.580000000000000000,50,2,379.00,50,100.00,0.00,0.00
3-April-2017,7.22,7.22,7.22,7.22,7.220000000000000000,50,1,361.00,50,100.00,0.00,0.00
31-March-2017,6.88,6.88,6.88,6.88,6.880000000000000000,100,2,688.00,100,100.00,0.00,0.00
8-November-2016,6.56,6.56,6.56,6.56,6.560000000000000000,1000,2,6560.00,1000,100.00,0.00,0.00
1-February-2016,12.50,12.50,12.50,12.50,12.400000000000000000,5,1,62.00,5,100.00,0.00,0.00
