Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,81.00,82.60,81.00,82.60,81.800000000000000000,50,9,4090.00,25,50.00,1.60,1.60
30-December-2020,75.40,82.95,75.40,81.85,80.400000000000000000,5,4,402.00,4,80.00,7.55,6.45
29-December-2020,81.00,82.70,80.10,81.95,81.716772151898734177,632,22,51645.00,610,96.52,2.60,0.95
28-December-2020,76.20,85.95,76.20,82.90,81.865951742627345844,373,17,30536.00,290,77.75,9.75,6.70
24-December-2020,76.10,84.45,76.10,84.35,81.108527131782945736,1161,16,94167.00,1161,100.00,8.35,8.25
23-December-2020,74.60,84.50,74.35,84.50,75.819875776397515527,161,21,12207.00,161,100.00,10.15,9.90
21-December-2020,79.60,79.60,69.00,77.70,75.134146341463414634,82,12,6161.00,57,69.51,10.60,-1.90
18-December-2020,77.15,85.70,76.25,76.25,77.536585365853658536,41,9,3179.00,40,97.56,9.45,-0.90
16-December-2020,80.30,80.55,80.30,80.55,80.497326203208556149,187,5,15053.00,187,100.00,0.25,0.25
15-December-2020,79.00,86.00,78.60,85.95,80.838888888888888888,180,9,14551.00,143,79.44,7.40,6.95
14-December-2020,77.10,93.55,77.10,86.65,78.141873278236914600,726,26,56731.00,707,97.38,16.45,9.55
11-December-2020,80.50,86.00,80.50,85.65,80.650485436893203883,206,3,16614.00,206,100.00,5.50,5.15
10-December-2020,72.50,87.90,72.50,79.80,82.465753424657534246,73,10,6020.00,72,98.63,15.40,7.30
8-December-2020,80.20,86.80,80.00,80.00,84.642611683848797250,291,10,24631.00,221,75.94,6.80,-0.20
7-December-2020,85.95,86.00,72.65,79.10,80.149484536082474226,194,29,15549.00,168,86.60,13.35,-6.85
4-December-2020,78.20,78.20,78.20,78.20,78.185185185185185185,54,6,4222.00,54,100.00,0.00,0.00
3-December-2020,78.20,78.20,78.20,78.20,78.166666666666666666,12,3,938.00,12,100.00,0.00,0.00
2-December-2020,78.20,78.20,72.20,78.20,77.375000000000000000,8,5,619.00,7,87.50,6.00,0.00
26-November-2020,74.40,74.50,74.40,74.50,74.333333333333333333,3,2,223.00,3,100.00,0.10,0.10
25-November-2020,71.05,71.05,71.05,71.05,71.040000000000000000,50,1,3552.00,50,100.00,0.00,0.00
23-November-2020,74.10,74.10,74.10,74.10,74.071428571428571428,14,1,1037.00,14,100.00,0.00,0.00
19-November-2020,77.95,77.95,77.95,77.95,77.950000000000000000,320,5,24944.00,320,100.00,0.00,0.00
18-November-2020,67.50,74.25,67.50,74.25,73.748831775700934579,856,80,63129.00,856,100.00,6.75,6.75
14-November-2020,70.75,70.75,70.75,70.75,70.722222222222222222,18,3,1273.00,18,100.00,0.00,0.00
12-November-2020,70.75,70.75,70.75,70.75,70.750000000000000000,20,1,1415.00,20,100.00,0.00,0.00
11-November-2020,74.95,74.95,71.95,74.45,74.333333333333333333,6,3,446.00,5,83.33,3.00,-0.50
6-November-2020,71.55,71.55,71.55,71.55,71.549019607843137254,153,3,10947.00,153,100.00,0.00,0.00
5-November-2020,67.50,69.00,66.00,68.15,67.727272727272727272,11,7,745.00,11,100.00,3.00,0.65
3-November-2020,68.20,68.20,68.20,68.20,68.000000000000000000,1,1,68.00,1,100.00,0.00,0.00
30-October-2020,71.75,71.75,71.75,71.75,71.750000000000000000,12,2,861.00,12,100.00,0.00,0.00
26-October-2020,75.50,83.40,75.50,75.50,77.649532710280373831,214,27,16617.00,117,54.67,7.90,0.00
23-October-2020,79.45,79.45,79.45,79.45,79.384615384615384615,13,1,1032.00,13,100.00,0.00,0.00
24-September-2020,83.60,83.60,83.60,83.60,83.600000000000000000,10,1,836.00,10,100.00,0.00,0.00
23-September-2020,75.90,83.70,75.90,83.70,78.000000000000000000,7,5,546.00,7,100.00,7.80,7.80
14-September-2020,79.85,79.85,79.85,79.85,79.500000000000000000,2,1,159.00,2,100.00,0.00,0.00
11-September-2020,77.00,77.00,77.00,77.00,77.000000000000000000,10,3,770.00,10,100.00,0.00,0.00
7-September-2020,77.00,77.00,77.00,77.00,77.000000000000000000,11,2,847.00,11,100.00,0.00,0.00
4-September-2020,74.45,74.45,74.45,74.45,74.428571428571428571,28,1,2084.00,28,100.00,0.00,0.00
2-September-2020,77.80,77.90,77.80,77.90,77.777777777777777777,9,2,700.00,5,55.56,0.10,0.10
1-September-2020,81.75,81.75,81.75,81.75,81.666666666666666666,6,1,490.00,6,100.00,0.00,0.00
31-August-2020,85.80,85.80,85.80,85.80,85.750000000000000000,8,1,686.00,8,100.00,0.00,0.00
28-August-2020,81.75,81.75,81.75,81.75,81.500000000000000000,2,1,163.00,2,100.00,0.00,0.00
27-August-2020,77.90,77.90,77.90,77.90,77.900000000000000000,50,1,3895.00,50,100.00,0.00,0.00
26-August-2020,74.20,74.20,74.20,74.20,74.000000000000000000,2,1,148.00,2,100.00,0.00,0.00
24-August-2020,70.70,70.70,70.70,70.70,70.700000000000000000,50,1,3535.00,50,100.00,0.00,0.00
21-August-2020,67.35,67.35,67.35,67.35,67.340000000000000000,50,1,3367.00,50,100.00,0.00,0.00
18-August-2020,67.00,67.00,64.15,64.15,64.196078431372549019,51,2,3274.00,51,100.00,2.85,-2.85
14-August-2020,68.00,68.00,67.00,67.00,67.652173913043478260,115,4,7780.00,115,100.00,1.00,-1.00
13-August-2020,63.30,64.95,63.30,64.95,64.366197183098591549,142,2,9140.00,142,100.00,1.65,1.65
7-August-2020,65.95,65.95,65.95,65.95,65.900000000000000000,10,1,659.00,10,100.00,0.00,0.00
30-July-2020,69.35,69.35,65.95,65.95,66.200000000000000000,65,3,4303.00,65,100.00,3.40,-3.40
29-July-2020,69.35,69.35,69.35,69.35,69.342857142857142857,70,2,4854.00,70,100.00,0.00,0.00
16-July-2020,71.00,73.00,71.00,73.00,71.000470366886171213,4252,6,301894.00,4252,100.00,2.00,2.00
15-July-2020,72.50,72.50,72.50,72.50,72.499950054939566476,10011,5,725797.00,10011,100.00,0.00,0.00
14-July-2020,75.95,75.95,75.95,75.95,75.949950049950049950,10010,5,760259.00,10010,100.00,0.00,0.00
13-July-2020,88.10,88.10,79.80,79.80,80.554545454545454545,110,6,8861.00,110,100.00,8.30,-8.30
10-July-2020,83.95,83.95,83.95,83.95,83.000000000000000000,1,1,83.00,1,100.00,0.00,0.00
9-July-2020,88.35,88.35,88.35,88.35,88.000000000000000000,1,1,88.00,1,100.00,0.00,0.00
7-July-2020,94.25,94.25,93.00,93.00,93.480000000000000000,25,2,2337.00,25,100.00,1.25,-1.25
6-July-2020,94.40,94.40,89.95,89.95,92.068965517241379310,29,4,2670.00,29,100.00,4.45,-4.45
25-June-2020,89.95,89.95,89.95,89.95,89.000000000000000000,1,1,89.00,1,100.00,0.00,0.00
24-June-2020,88.00,88.20,80.15,87.20,86.706766917293233082,133,4,11532.00,133,100.00,8.05,-0.80
22-June-2020,84.00,84.00,84.00,84.00,84.000000000000000000,25,1,2100.00,25,100.00,0.00,0.00
19-June-2020,88.40,88.40,88.40,88.40,88.382352941176470588,34,1,3005.00,34,100.00,0.00,0.00
17-June-2020,88.45,88.50,88.45,88.50,88.454545454545454545,66,14,5838.00,66,100.00,0.05,0.05
16-June-2020,84.20,88.45,84.20,84.30,84.857142857142857142,14,4,1188.00,14,100.00,4.25,0.10
15-June-2020,82.70,88.45,82.70,88.45,83.200000000000000000,10,2,832.00,10,100.00,5.75,5.75
12-June-2020,87.45,87.45,86.85,86.95,87.246987951807228915,166,4,14483.00,166,100.00,0.60,-0.50
