Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-December-2020,12.45,13.10,12.45,13.10,12.840000000000000000,50,3,642.00,50,100.00,0.65,0.65
11-December-2020,13.15,13.15,13.10,13.10,13.099502487562189054,201,3,2633.00,201,100.00,0.05,-0.05
9-December-2020,13.75,13.75,13.75,13.75,13.750000000000000000,200,1,2750.00,200,100.00,0.00,0.00
5-November-2020,13.75,14.45,13.75,14.45,14.261627906976744186,172,4,2453.00,172,100.00,0.70,0.70
4-November-2020,15.95,15.95,14.45,14.45,15.000000000000000000,2,2,30.00,2,100.00,1.50,-1.50
2-November-2020,16.80,16.80,15.20,15.20,15.307692307692307692,13,5,199.00,13,100.00,1.60,-1.60
28-October-2020,17.60,17.60,16.00,16.00,16.071428571428571428,14,4,225.00,14,100.00,1.60,-1.60
27-October-2020,18.50,18.50,16.80,16.80,17.285714285714285714,14,2,242.00,14,100.00,1.70,-1.70
23-October-2020,17.65,17.65,17.65,17.65,17.000000000000000000,1,1,17.00,1,100.00,0.00,0.00
16-October-2020,17.40,17.40,15.80,17.30,16.000000000000000000,15,5,240.00,15,100.00,1.60,-0.10
6-October-2020,17.45,17.45,16.60,16.60,16.636363636363636363,11,2,183.00,11,100.00,0.85,-0.85
5-October-2020,17.45,17.45,17.45,17.45,17.000000000000000000,2,2,34.00,2,100.00,0.00,0.00
29-September-2020,17.45,17.45,17.45,17.45,17.000000000000000000,2,1,34.00,2,100.00,0.00,0.00
25-September-2020,16.70,16.70,16.70,16.70,16.700000000000000000,10,1,167.00,10,100.00,0.00,0.00
24-September-2020,15.95,17.55,15.95,17.55,15.953900709219858156,282,4,4499.00,282,100.00,1.60,1.60
22-September-2020,18.45,18.45,16.75,16.75,16.818181818181818181,11,2,185.00,11,100.00,1.70,-1.70
21-September-2020,17.60,17.60,17.60,17.60,17.597014925373134328,268,5,4716.00,268,100.00,0.00,0.00
18-September-2020,16.80,16.80,16.80,16.80,16.800000000000000000,10,2,168.00,10,100.00,0.00,0.00
17-September-2020,16.00,16.00,16.00,16.00,16.000000000000000000,631,7,10096.00,631,100.00,0.00,0.00
16-September-2020,15.25,15.25,13.85,15.25,15.067164179104477611,134,8,2019.00,134,100.00,1.40,0.00
15-September-2020,15.30,15.30,14.55,14.55,14.600000000000000000,135,6,1971.00,135,100.00,0.75,-0.75
14-September-2020,13.90,15.30,13.90,15.30,15.285714285714285714,98,3,1498.00,98,100.00,1.40,1.40
11-September-2020,14.60,14.60,14.60,14.60,14.333333333333333333,3,2,43.00,3,100.00,0.00,0.00
10-September-2020,14.00,15.40,14.00,15.35,15.310408921933085501,538,11,8237.00,538,100.00,1.40,1.35
9-September-2020,14.70,14.70,14.70,14.70,14.600000000000000000,5,1,73.00,5,100.00,0.00,0.00
8-September-2020,15.45,15.45,15.45,15.45,15.000000000000000000,1,1,15.00,1,100.00,0.00,0.00
7-September-2020,15.45,16.25,15.45,16.25,16.094594594594594594,74,3,1191.00,74,100.00,0.80,0.80
4-September-2020,15.50,16.35,15.50,16.25,16.166666666666666666,12,3,194.00,12,100.00,0.85,0.75
3-September-2020,14.80,16.30,14.80,16.30,16.250000000000000000,248,2,4030.00,248,100.00,1.50,1.50
2-September-2020,15.55,15.55,15.55,15.55,15.000000000000000000,1,1,15.00,1,100.00,0.00,0.00
1-September-2020,16.35,16.35,16.35,16.35,16.000000000000000000,1,1,16.00,1,100.00,0.00,0.00
31-August-2020,17.20,17.20,17.20,17.20,17.199488491048593350,391,3,6725.00,391,100.00,0.00,0.00
28-August-2020,18.10,20.00,18.10,18.10,19.498614958448753462,361,7,7039.00,361,100.00,1.90,0.00
27-August-2020,21.05,21.05,19.05,19.05,20.366666666666666666,30,3,611.00,30,100.00,2.00,-2.00
24-August-2020,20.00,20.15,20.00,20.05,20.060000000000000000,250,2,5015.00,250,100.00,0.15,0.05
20-August-2020,20.15,20.15,20.15,20.15,20.083333333333333333,12,3,241.00,12,100.00,0.00,0.00
19-August-2020,20.90,20.90,19.00,19.20,19.199335548172757475,602,17,11558.00,602,100.00,1.90,-1.70
18-August-2020,20.65,20.65,18.75,19.95,19.091988130563798219,674,16,12868.00,674,100.00,1.90,-0.70
17-August-2020,19.70,19.70,17.90,19.70,19.354838709677419354,62,7,1200.00,62,100.00,1.80,0.00
14-August-2020,17.10,18.80,17.10,18.80,17.333333333333333333,6,2,104.00,6,100.00,1.70,1.70
13-August-2020,17.10,17.95,17.10,17.95,17.877862595419847328,131,5,2342.00,131,100.00,0.85,0.85
12-August-2020,15.50,17.10,15.50,17.10,17.010204081632653061,392,10,6668.00,392,100.00,1.60,1.60
11-August-2020,16.30,16.30,16.30,16.30,16.296774193548387096,155,4,2526.00,155,100.00,0.00,0.00
10-August-2020,17.50,17.50,17.15,17.15,17.333333333333333333,15,2,260.00,15,100.00,0.35,-0.35
7-August-2020,18.05,18.05,18.05,18.05,18.050000000000000000,60,2,1083.00,60,100.00,0.00,0.00
6-August-2020,19.00,19.00,19.00,19.00,19.000000000000000000,159,6,3021.00,159,100.00,0.00,0.00
5-August-2020,19.00,19.00,19.00,19.00,19.000000000000000000,1,1,19.00,1,100.00,0.00,0.00
11-June-2020,19.00,19.00,19.00,19.00,19.000000000000000000,5,1,95.00,5,100.00,0.00,0.00
20-May-2020,19.00,19.00,19.00,19.00,19.000000000000000000,2,1,38.00,2,100.00,0.00,0.00
17-April-2020,20.00,20.00,20.00,20.00,20.000000000000000000,5,5,100.00,5,100.00,0.00,0.00
15-April-2020,20.00,20.00,20.00,20.00,20.000000000000000000,5,1,100.00,5,100.00,0.00,0.00
13-April-2020,20.00,20.00,20.00,20.00,20.000000000000000000,2,1,40.00,2,100.00,0.00,0.00
9-December-2019,20.00,20.00,20.00,20.00,20.000000000000000000,5,1,100.00,5,100.00,0.00,0.00
12-June-2019,20.00,20.00,20.00,20.00,20.000000000000000000,30,1,600.00,30,100.00,0.00,0.00
11-June-2019,20.00,20.00,20.00,20.00,20.000000000000000000,20,1,400.00,20,100.00,0.00,0.00
22-May-2019,20.65,20.65,20.65,20.65,20.600000000000000000,10,1,206.00,10,100.00,0.00,0.00
22-April-2019,19.70,19.70,19.70,19.70,19.699716713881019830,353,3,6954.00,353,100.00,0.00,0.00
11-April-2019,19.70,19.70,19.70,19.70,19.700000000000000000,10,1,197.00,10,100.00,0.00,0.00
8-April-2019,20.70,20.70,20.70,20.70,20.700000000000000000,50,3,1035.00,50,100.00,0.00,0.00
5-April-2019,21.70,21.70,21.70,21.70,21.700000000000000000,10,1,217.00,10,100.00,0.00,0.00
3-April-2019,20.75,20.75,20.70,20.70,20.700000000000000000,20,2,414.00,20,100.00,0.05,-0.05
2-April-2019,21.75,21.75,21.75,21.75,21.700000000000000000,10,1,217.00,10,100.00,0.00,0.00
28-March-2019,22.80,22.80,22.80,22.80,22.800000000000000000,10,1,228.00,10,100.00,0.00,0.00
27-March-2019,24.00,24.00,24.00,24.00,24.000000000000000000,15,2,360.00,15,100.00,0.00,0.00
26-March-2019,25.25,25.25,25.25,25.25,25.200000000000000000,10,1,252.00,10,100.00,0.00,0.00
25-March-2019,29.25,29.25,26.55,26.55,27.110169491525423728,118,6,3199.00,118,100.00,2.70,-2.70
22-March-2019,27.95,27.95,27.90,27.90,27.929411764705882352,340,27,9496.00,340,100.00,0.05,-0.05
20-March-2019,32.30,32.30,29.35,29.35,29.645962732919254658,161,8,4773.00,161,100.00,2.95,-2.95
19-March-2019,30.85,33.95,30.85,30.85,31.535135135135135135,185,9,5834.00,185,100.00,3.10,0.00
18-March-2019,35.50,35.50,32.25,32.40,35.297029702970297029,707,12,24955.00,707,100.00,3.25,-3.10
8-March-2019,33.90,33.90,33.90,33.90,33.846153846153846153,13,2,440.00,13,100.00,0.00,0.00
7-March-2019,33.40,33.40,33.40,33.40,33.000000000000000000,2,1,66.00,2,100.00,0.00,0.00
6-March-2019,33.90,33.90,33.90,33.90,33.875000000000000000,8,5,271.00,8,100.00,0.00,0.00
5-March-2019,32.30,32.30,32.30,32.30,32.000000000000000000,2,1,64.00,2,100.00,0.00,0.00
22-January-2019,30.90,30.90,30.90,30.90,30.000000000000000000,1,1,30.00,1,100.00,0.00,0.00
7-January-2019,30.90,30.90,30.90,30.90,30.900000000000000000,60,1,1854.00,60,100.00,0.00,0.00
29-October-2018,29.55,29.55,29.55,29.55,29.544554455445544554,101,2,2984.00,101,100.00,0.00,0.00
26-October-2018,28.15,28.15,28.15,28.15,28.142857142857142857,7,3,197.00,7,100.00,0.00,0.00
25-October-2018,26.85,26.85,26.85,26.85,26.800000000000000000,5,1,134.00,5,100.00,0.00,0.00
21-September-2018,28.10,28.10,25.60,25.60,26.042071197411003236,309,3,8047.00,309,100.00,2.50,-2.50
18-September-2018,26.80,26.80,26.80,26.80,26.800000000000000000,200,1,5360.00,200,100.00,0.00,0.00
14-September-2018,25.60,25.60,25.60,25.60,25.600000000000000000,1000,6,25600.00,1000,100.00,0.00,0.00
30-August-2018,24.40,24.40,24.40,24.40,24.400000000000000000,10,2,244.00,10,100.00,0.00,0.00
21-August-2018,25.65,25.65,25.65,25.65,25.650000000000000000,100,2,2565.00,100,100.00,0.00,0.00
9-August-2018,26.95,26.95,26.95,26.95,26.000000000000000000,1,1,26.00,1,100.00,0.00,0.00
30-July-2018,28.35,28.35,28.35,28.35,28.350000000000000000,100,1,2835.00,100,100.00,0.00,0.00
25-July-2018,29.80,29.80,29.80,29.80,29.800000000000000000,100,1,2980.00,100,100.00,0.00,0.00
10-July-2018,31.30,31.35,31.30,31.35,31.300000000000000000,30,2,939.00,30,100.00,0.05,0.05
4-July-2018,31.35,31.35,31.35,31.35,31.350000000000000000,100,1,3135.00,100,100.00,0.00,0.00
2-July-2018,33.00,33.00,33.00,33.00,33.000000000000000000,100,1,3300.00,100,100.00,0.00,0.00
13-April-2018,31.50,31.50,31.50,31.50,31.500000000000000000,10,1,315.00,10,100.00,0.00,0.00
2-April-2018,30.00,30.00,30.00,30.00,30.000000000000000000,200,2,6000.00,200,100.00,0.00,0.00
23-February-2018,29.55,29.55,29.55,29.55,29.500000000000000000,10,1,295.00,10,100.00,0.00,0.00
