Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,72.30,72.50,68.55,69.25,70.223327370304114490,13975,222,981371.00,8676,62.08,3.95,-3.05
4-January-2021,71.30,72.50,67.80,71.85,70.275781018233267155,43821,510,3079555.00,29500,67.32,4.70,0.55
1-January-2021,68.65,69.05,65.00,69.05,68.286177059801372490,23461,354,1602062.00,18090,77.11,4.05,0.40
31-December-2020,62.85,65.80,61.75,65.80,65.165214685749844430,6428,81,418882.00,6204,96.52,4.05,2.95
30-December-2020,64.70,64.80,62.45,62.70,64.071881606765327695,6622,179,424284.00,3243,48.97,2.35,-2.00
29-December-2020,66.25,67.40,62.60,63.35,65.007563399080527954,20229,398,1315038.00,9497,46.95,4.80,-2.90
28-December-2020,68.65,68.65,63.20,65.85,65.620950657150496719,48619,771,3190425.00,31468,64.72,5.45,-2.80
24-December-2020,66.35,66.40,64.00,66.40,66.273020644533840236,22621,207,1499162.00,15424,68.18,2.40,0.05
23-December-2020,62.90,63.25,62.35,63.25,63.149275362318840579,8280,63,522876.00,6999,84.53,0.90,0.35
22-December-2020,57.00,62.00,56.65,60.25,58.117804093367102471,29218,579,1698086.00,14230,48.70,5.35,3.25
21-December-2020,61.00,69.70,58.65,59.60,64.133140129560177292,41062,1356,2633435.00,23253,56.63,11.05,-1.40
18-December-2020,71.00,71.00,65.15,65.15,65.975455403657214782,28601,255,1886964.00,23410,81.85,5.85,-5.85
17-December-2020,80.00,86.10,70.50,72.35,82.266368265124212848,155942,2055,12828782.00,90772,58.21,15.60,-7.65
16-December-2020,67.00,78.30,65.60,78.30,74.915857051144874812,116825,1864,8752045.00,63096,54.01,12.70,11.30
15-December-2020,55.20,65.95,49.20,65.25,62.060882918207894304,103543,1509,6425970.00,62659,60.51,16.75,10.05
14-December-2020,45.25,55.20,45.25,55.20,53.654691624670026397,83340,630,4471582.00,51602,61.92,9.95,9.95
11-December-2020,50.45,50.45,45.00,46.00,46.329577004736240405,6123,115,283676.00,2260,36.91,5.45,-4.45
10-December-2020,46.05,46.50,44.00,45.80,45.373696478959636854,8151,134,369841.00,2834,34.77,2.50,-0.25
9-December-2020,48.10,48.10,45.80,46.30,46.479818078453666856,3518,59,163516.00,1681,47.78,2.30,-1.80
8-December-2020,46.80,49.10,46.55,47.50,47.922572815533980582,8240,303,394882.00,3858,46.82,2.55,0.70
7-December-2020,43.55,46.00,43.55,45.85,45.043596549435965494,15070,390,678807.00,10728,71.19,2.45,2.30
4-December-2020,41.55,44.20,41.55,43.15,43.294053344993441189,9148,142,396054.00,3939,43.06,2.65,1.60
3-December-2020,43.10,44.35,42.00,42.75,42.744380436010391957,8853,172,378416.00,4137,46.73,2.35,-0.35
2-December-2020,43.45,44.95,42.00,43.55,43.508125000000000000,9600,172,417678.00,5373,55.97,2.95,0.10
1-December-2020,43.00,44.50,42.35,43.05,43.270197787462286288,8949,86,387225.00,2707,30.25,2.15,0.05
27-November-2020,43.00,44.80,41.80,44.50,44.050177256613035178,11001,139,484596.00,9288,84.43,3.00,1.50
26-November-2020,41.45,43.95,40.85,43.80,42.267215189873417721,7900,125,333911.00,1701,21.53,3.10,2.35
25-November-2020,47.80,47.80,41.10,41.65,42.772043884599756196,4922,139,210524.00,2937,59.67,6.70,-6.15
24-November-2020,43.10,44.40,42.45,43.80,43.354178195904814609,10842,159,470046.00,5122,47.24,1.95,0.70
23-November-2020,48.00,48.00,42.05,44.60,44.190809834938101788,23264,410,1028055.00,10225,43.95,5.95,-3.40
20-November-2020,44.65,44.65,43.00,44.65,44.411635725771086098,20523,203,911460.00,15551,75.77,1.65,0.00
19-November-2020,38.70,40.60,38.70,40.60,40.426754624591947769,14704,120,594435.00,11059,75.21,1.90,1.90
18-November-2020,37.05,37.05,36.30,36.95,36.401904761904761904,1050,10,38222.00,1005,95.71,0.75,-0.10
17-November-2020,38.05,38.05,37.00,37.45,37.106299212598425196,1270,23,47125.00,1240,97.64,1.05,-0.60
13-November-2020,38.95,39.00,38.00,38.15,38.204888569374550682,1391,47,53143.00,1113,80.01,1.00,-0.80
12-November-2020,35.80,37.95,35.70,37.85,37.022275967413441955,7856,98,290847.00,7273,92.58,2.25,2.05
11-November-2020,37.95,38.00,34.10,35.40,36.030055974689705524,16436,262,592190.00,6828,41.54,3.90,-2.55
10-November-2020,38.05,38.05,37.05,37.25,37.418294849023090586,1126,19,42133.00,1120,99.47,1.00,-0.80
9-November-2020,38.25,38.80,38.00,38.15,38.137362637362637362,182,12,6941.00,180,98.90,0.80,-0.10
6-November-2020,38.95,39.00,38.00,38.05,38.251851851851851851,270,21,10328.00,210,77.78,1.00,-0.90
5-November-2020,39.50,39.50,37.00,38.00,38.210526315789473684,10469,142,400026.00,5309,50.71,2.50,-1.50
4-November-2020,39.90,40.00,37.85,38.25,38.974310406061323546,8447,122,329216.00,2621,31.03,2.15,-1.65
3-November-2020,37.60,40.25,37.60,38.55,39.325310712172026040,5069,150,199340.00,2468,48.69,2.65,0.95
2-November-2020,39.00,39.00,37.60,37.65,38.192232317833600570,5613,198,214373.00,2849,50.76,1.40,-1.35
30-October-2020,41.10,41.95,40.00,41.05,40.858269160249358269,5454,94,222841.00,1500,27.50,1.95,-0.05
29-October-2020,41.00,42.10,40.35,41.05,41.825074012099369288,7769,157,324939.00,5550,71.44,1.75,0.05
28-October-2020,39.10,42.50,38.40,41.50,41.595156555772994129,36792,340,1530369.00,18660,50.72,4.10,2.40
27-October-2020,36.50,39.00,36.20,38.70,37.470750072400810889,6906,77,258773.00,5262,76.19,2.80,2.20
26-October-2020,38.40,39.00,37.15,37.40,38.003503684909991542,8277,79,314555.00,7406,89.48,1.85,-1.00
23-October-2020,40.00,41.00,38.35,39.20,39.712431638233613582,12251,182,486517.00,4376,35.72,2.65,-0.80
22-October-2020,39.05,41.30,38.05,39.10,39.361948780118199727,13198,257,519499.00,5225,39.59,3.25,0.05
21-October-2020,41.85,43.45,39.00,41.00,40.839146189559506284,17662,336,721301.00,3509,19.87,4.45,-0.85
20-October-2020,41.90,43.80,40.25,41.05,41.623209876543209876,4050,112,168574.00,2438,60.20,3.55,-0.85
19-October-2020,45.80,46.80,40.90,41.45,42.904602510460251046,9560,305,410168.00,4983,52.12,5.90,-4.35
16-October-2020,43.80,45.10,42.00,43.60,43.714135391090845317,11404,251,498516.00,7875,69.05,3.10,-0.20
15-October-2020,43.15,43.50,40.90,41.00,41.899161382695847821,29334,337,1229070.00,19091,65.08,2.60,-2.15
14-October-2020,52.90,54.60,44.70,45.40,47.579697505793237485,80266,1264,3819032.00,38040,47.39,9.90,-7.50
13-October-2020,46.70,49.65,46.70,49.65,48.856087302489485051,17594,181,859574.00,11988,68.14,2.95,2.95
12-October-2020,40.80,45.15,40.55,45.15,43.960286215885513645,37594,442,1652643.00,24547,65.29,4.60,4.35
9-October-2020,33.75,37.65,33.60,37.65,36.745231251633133002,15308,134,562496.00,13377,87.39,4.05,3.90
8-October-2020,31.50,32.50,29.55,31.40,31.215502163306637208,21726,257,678188.00,10907,50.20,2.95,-0.10
7-October-2020,28.75,29.50,28.75,29.50,29.455216016859852476,1898,53,55906.00,1898,100.00,0.75,0.75
6-October-2020,29.60,29.75,29.60,29.60,29.624242424242424242,165,5,4888.00,165,100.00,0.15,0.00
5-October-2020,29.75,31.00,29.45,29.75,30.255308880308880308,2072,58,62689.00,1511,72.92,1.55,0.00
1-October-2020,31.05,31.05,30.50,30.65,30.772500000000000000,1200,15,36927.00,1200,100.00,0.55,-0.40
30-September-2020,30.90,31.05,28.45,29.30,29.198501872659176029,4005,52,116940.00,1311,32.73,2.60,-1.60
29-September-2020,28.95,30.00,28.95,29.70,29.552342704149933065,7470,70,220756.00,1491,19.96,1.05,0.75
28-September-2020,29.55,29.60,28.05,29.05,29.294624107517849643,4762,57,139501.00,2918,61.28,1.55,-0.50
25-September-2020,29.20,29.20,28.25,29.00,28.816528398213146139,3134,57,90311.00,1355,43.24,0.95,-0.20
24-September-2020,28.50,31.00,28.00,28.45,28.957691189299214888,6878,101,199171.00,4022,58.48,3.00,-0.05
23-September-2020,28.30,29.00,27.30,28.40,28.334135821045240244,9969,136,282463.00,2024,20.30,1.70,0.10
22-September-2020,27.55,29.70,26.50,29.30,28.318691351762617296,19715,173,558303.00,13565,68.81,3.20,1.75
21-September-2020,29.80,31.35,29.00,29.40,30.555250194451646357,19285,156,589258.00,12377,64.18,2.35,-0.40
18-September-2020,28.40,30.80,28.40,29.85,29.962634380544828306,19162,200,574144.00,15595,81.38,2.40,1.45
17-September-2020,27.30,28.45,24.85,28.00,27.542788953290146607,8799,100,242349.00,6733,76.52,3.60,0.70
16-September-2020,26.75,27.80,26.50,26.75,27.468582106984349451,8562,100,235186.00,5577,65.14,1.30,0.00
15-September-2020,26.00,26.00,25.00,25.30,25.145968216597998822,1699,58,42723.00,1594,93.82,1.00,-0.70
14-September-2020,26.00,27.00,25.75,26.05,26.256019656019656019,2035,19,53431.00,1195,58.72,1.25,0.05
11-September-2020,27.10,27.50,26.50,27.10,26.969626769626769626,3885,69,104777.00,2755,70.91,1.00,0.00
10-September-2020,25.30,27.40,25.30,26.70,26.106089139987445072,3186,44,83174.00,3061,96.08,2.10,1.40
9-September-2020,27.00,27.00,25.50,25.50,25.653179190751445086,519,5,13314.00,500,96.34,1.50,-1.50
8-September-2020,26.85,27.35,26.85,27.00,27.034686971235194585,2364,55,63910.00,2134,90.27,0.50,0.15
