Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,2.69,2.69,2.69,2.69,2.688571428571428571,350,3,941.00,350,100.00,0.00,0.00
23-December-2020,2.57,2.57,2.57,2.57,2.500000000000000000,10,3,25.00,10,100.00,0.00,0.00
22-December-2020,2.45,2.45,2.45,2.45,2.449864498644986449,1476,1,3616.00,1476,100.00,0.00,0.00
17-December-2020,2.40,2.40,2.40,2.40,2.400000000000000000,10,1,24.00,10,100.00,0.00,0.00
11-December-2020,2.36,2.36,2.36,2.36,2.300000000000000000,10,1,23.00,10,100.00,0.00,0.00
9-December-2020,2.25,2.25,2.25,2.25,2.200000000000000000,10,1,22.00,10,100.00,0.00,0.00
8-December-2020,2.15,2.15,2.15,2.15,2.100000000000000000,10,1,21.00,10,100.00,0.00,0.00
7-December-2020,2.05,2.05,2.05,2.05,2.050000000000000000,20,1,41.00,20,100.00,0.00,0.00
4-December-2020,1.96,1.96,1.96,1.96,1.950000000000000000,20,1,39.00,20,100.00,0.00,0.00
2-December-2020,1.87,1.87,1.87,1.87,1.870000000000000000,200,1,374.00,200,100.00,0.00,0.00
1-December-2020,1.79,1.79,1.79,1.79,1.790000000000000000,400,1,716.00,400,100.00,0.00,0.00
26-November-2020,1.71,1.71,1.71,1.71,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
25-November-2020,1.63,1.63,1.63,1.63,1.629670329670329670,910,2,1483.00,910,100.00,0.00,0.00
24-November-2020,1.59,1.59,1.59,1.59,1.550000000000000000,20,1,31.00,20,100.00,0.00,0.00
18-November-2020,1.52,1.52,1.52,1.52,1.500000000000000000,30,2,45.00,30,100.00,0.00,0.00
17-November-2020,1.45,1.51,1.45,1.45,1.451724137931034482,1450,4,2105.00,1450,100.00,0.06,0.00
12-November-2020,1.45,1.45,1.45,1.45,1.448877805486284289,401,1,581.00,401,100.00,0.00,0.00
5-November-2020,1.45,1.45,1.45,1.45,1.450000000000000000,300,2,435.00,300,100.00,0.00,0.00
4-November-2020,1.39,1.39,1.39,1.39,1.390000000000000000,200,1,278.00,200,100.00,0.00,0.00
3-November-2020,1.33,1.33,1.33,1.33,1.320000000000000000,50,1,66.00,50,100.00,0.00,0.00
2-November-2020,1.27,1.27,1.27,1.27,1.260000000000000000,50,1,63.00,50,100.00,0.00,0.00
19-October-2020,1.21,1.21,1.21,1.21,1.200000000000000000,50,1,60.00,50,100.00,0.00,0.00
14-October-2020,1.16,1.16,1.16,1.16,1.160000000000000000,50,1,58.00,50,100.00,0.00,0.00
12-October-2020,1.16,1.16,1.11,1.11,1.136060894386298763,1051,3,1194.00,1051,100.00,0.05,-0.05
8-October-2020,1.11,1.11,1.11,1.11,1.100000000000000000,50,1,55.00,50,100.00,0.00,0.00
6-October-2020,1.06,1.06,1.06,1.06,1.060000000000000000,50,1,53.00,50,100.00,0.00,0.00
30-September-2020,1.01,1.01,1.01,1.01,1.000000000000000000,50,1,50.00,50,100.00,0.00,0.00
28-September-2020,0.97,0.97,0.97,0.97,0.960000000000000000,50,1,48.00,50,100.00,0.00,0.00
18-September-2020,0.93,0.93,0.93,0.93,0.920000000000000000,50,1,46.00,50,100.00,0.00,0.00
14-September-2020,0.89,0.89,0.89,0.89,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
4-September-2020,0.85,0.85,0.85,0.85,0.846153846153846153,52,2,44.00,52,100.00,0.00,0.00
27-August-2020,0.82,0.82,0.81,0.81,0.819606637984019668,3254,4,2667.00,3254,100.00,0.01,-0.01
24-August-2020,0.79,0.79,0.79,0.79,0.780000000000000000,50,1,39.00,50,100.00,0.00,0.00
21-August-2020,0.76,0.76,0.76,0.76,0.750000000000000000,60,1,45.00,60,100.00,0.00,0.00
17-August-2020,0.73,0.73,0.73,0.73,0.730000000000000000,1000,2,730.00,1000,100.00,0.00,0.00
14-August-2020,0.70,0.70,0.70,0.70,0.700000000000000000,70,2,49.00,70,100.00,0.00,0.00
13-August-2020,0.70,0.70,0.67,0.67,0.670516167905201847,9958,6,6677.00,9958,100.00,0.03,-0.03
6-August-2020,0.70,0.70,0.70,0.70,0.500000000000000000,4,1,2.00,4,100.00,0.00,0.00
29-July-2020,0.70,0.70,0.70,0.70,0.700000000000000000,100,2,70.00,100,100.00,0.00,0.00
28-July-2020,0.70,0.70,0.70,0.70,0.700000000000000000,400,4,280.00,400,100.00,0.00,0.00
30-June-2020,0.73,0.73,0.73,0.73,0.729203539823008849,1130,6,824.00,1130,100.00,0.00,0.00
8-June-2020,0.76,0.76,0.76,0.76,0.759911894273127753,454,1,345.00,454,100.00,0.00,0.00
28-April-2020,0.73,0.73,0.73,0.73,0.730000000000000000,1000,1,730.00,1000,100.00,0.00,0.00
18-March-2020,0.70,0.70,0.70,0.70,0.700000000000000000,100,1,70.00,100,100.00,0.00,0.00
16-March-2020,0.70,0.70,0.70,0.70,0.700000000000000000,100,1,70.00,100,100.00,0.00,0.00
13-March-2020,0.70,0.70,0.70,0.70,0.700000000000000000,100,1,70.00,100,100.00,0.00,0.00
12-March-2020,0.70,0.70,0.70,0.70,0.700000000000000000,100,1,70.00,100,100.00,0.00,0.00
9-March-2020,0.70,0.70,0.70,0.70,0.700000000000000000,50,1,35.00,50,100.00,0.00,0.00
11-February-2020,0.71,0.71,0.71,0.71,0.709618874773139745,551,1,391.00,551,100.00,0.00,0.00
30-December-2019,0.68,0.68,0.68,0.68,0.680000000000000000,600,1,408.00,600,100.00,0.00,0.00
18-November-2019,0.71,0.71,0.71,0.71,0.709270927092709270,1111,2,788.00,1111,100.00,0.00,0.00
16-October-2019,0.68,0.68,0.68,0.68,0.679487179487179487,624,1,424.00,624,100.00,0.00,0.00
4-October-2019,0.68,0.68,0.68,0.68,0.500000000000000000,2,1,1.00,2,100.00,0.00,0.00
9-September-2019,1.36,1.36,1.36,1.36,1.360000000000000000,1000,1,1360.00,1000,100.00,0.00,0.00
8-July-2019,1.30,1.30,1.30,1.30,1.300000000000000000,400,1,520.00,400,100.00,0.00,0.00
10-June-2019,1.24,1.24,1.24,1.24,1.237967914438502673,374,1,463.00,374,100.00,0.00,0.00
11-April-2019,1.19,1.19,1.19,1.19,1.189683860232945091,601,4,715.00,601,100.00,0.00,0.00
24-August-2018,1.14,1.14,1.14,1.14,1.100000000000000000,10,1,11.00,10,100.00,0.00,0.00
16-August-2018,1.20,1.20,1.20,1.20,1.200000000000000000,300,1,360.00,300,100.00,0.00,0.00
21-May-2018,1.25,1.26,1.24,1.25,1.251428571428571428,700,6,876.00,700,100.00,0.02,0.00
27-March-2018,1.25,1.25,1.25,1.25,1.250000000000000000,500,1,625.00,500,100.00,0.00,0.00
16-March-2018,1.25,1.25,1.25,1.25,1.250000000000000000,100,1,125.00,100,100.00,0.00,0.00
9-March-2018,1.25,1.25,1.25,1.25,1.250000000000000000,100,1,125.00,100,100.00,0.00,0.00
8-March-2018,1.28,1.29,1.28,1.29,1.280000000000000000,100,2,128.00,100,100.00,0.01,0.01
7-March-2018,1.27,1.27,1.27,1.27,1.270000000000000000,200,2,254.00,200,100.00,0.00,0.00
