Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,7.40,7.40,7.40,7.40,7.400000000000000000,120,1,888.00,120,100.00,0.00,0.00
1-January-2021,7.77,7.77,7.77,7.77,7.760000000000000000,50,1,388.00,50,100.00,0.00,0.00
31-December-2020,7.40,7.40,7.40,7.40,7.400000000000000000,50,1,370.00,50,100.00,0.00,0.00
30-December-2020,7.40,7.40,7.40,7.40,7.400000000000000000,50,1,370.00,50,100.00,0.00,0.00
29-December-2020,7.40,7.40,7.40,7.40,7.400000000000000000,200,5,1480.00,200,100.00,0.00,0.00
24-December-2020,7.40,7.40,7.40,7.40,7.386363636363636363,44,1,325.00,44,100.00,0.00,0.00
23-December-2020,7.15,7.36,7.15,7.36,7.206896551724137931,29,2,209.00,29,100.00,0.21,0.21
21-December-2020,7.01,7.01,7.01,7.01,7.009870129870129870,3850,4,26988.00,3850,100.00,0.00,0.00
18-December-2020,6.68,6.68,6.68,6.68,6.600000000000000000,10,1,66.00,10,100.00,0.00,0.00
17-December-2020,6.55,6.55,6.55,6.55,6.540000000000000000,50,4,327.00,50,100.00,0.00,0.00
15-December-2020,6.55,6.55,6.55,6.55,6.550000000000000000,100,1,655.00,100,100.00,0.00,0.00
9-December-2020,6.43,6.43,6.43,6.43,6.429906542056074766,2247,3,14448.00,2247,100.00,0.00,0.00
8-December-2020,6.13,6.13,6.13,6.13,6.129997990757484428,49770,13,305090.00,49770,100.00,0.00,0.00
7-December-2020,5.84,5.84,5.84,5.84,5.840000000000000000,50050,12,292292.00,50050,100.00,0.00,0.00
4-December-2020,5.57,5.57,5.57,5.57,5.569998061890302991,30958,8,172436.00,30958,100.00,0.00,0.00
3-December-2020,5.31,5.31,5.31,5.31,5.309523809523809523,1050,2,5575.00,1050,100.00,0.00,0.00
20-November-2020,5.01,5.06,5.01,5.06,5.030303030303030303,99,2,498.00,99,100.00,0.05,0.05
17-November-2020,5.13,5.13,5.13,5.13,5.122448979591836734,49,1,251.00,49,100.00,0.00,0.00
13-November-2020,4.89,4.89,4.89,4.89,4.880000000000000000,50,1,244.00,50,100.00,0.00,0.00
12-November-2020,4.66,4.66,4.66,4.66,4.660000000000000000,50,1,233.00,50,100.00,0.00,0.00
11-November-2020,4.44,4.44,4.44,4.44,4.434782608695652173,69,2,306.00,69,100.00,0.00,0.00
22-October-2020,4.23,4.23,4.23,4.23,4.220000000000000000,50,1,211.00,50,100.00,0.00,0.00
21-October-2020,4.03,4.03,4.03,4.03,4.000000000000000000,28,1,112.00,28,100.00,0.00,0.00
20-October-2020,3.84,3.84,3.84,3.84,3.833333333333333333,30,1,115.00,30,100.00,0.00,0.00
19-October-2020,3.66,3.66,3.66,3.66,3.660000000000000000,50,1,183.00,50,100.00,0.00,0.00
16-October-2020,3.49,3.49,3.49,3.49,3.400000000000000000,10,1,34.00,10,100.00,0.00,0.00
14-October-2020,3.67,3.67,3.67,3.67,3.600000000000000000,5,1,18.00,5,100.00,0.00,0.00
13-October-2020,3.85,3.85,3.85,3.85,3.000000000000000000,1,1,3.00,1,100.00,0.00,0.00
9-October-2020,4.05,4.05,4.05,4.05,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
8-October-2020,4.25,4.25,4.25,4.25,4.250000000000000000,100,2,425.00,100,100.00,0.00,0.00
7-October-2020,4.45,4.45,4.45,4.45,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
6-October-2020,4.26,4.68,4.26,4.68,4.285714285714285714,7,2,30.00,7,100.00,0.42,0.42
5-October-2020,4.46,4.46,4.46,4.46,4.333333333333333333,6,1,26.00,6,100.00,0.00,0.00
1-October-2020,4.66,5.14,4.66,4.69,5.115384615384615384,52,3,266.00,52,100.00,0.48,0.03
30-September-2020,4.90,4.90,4.90,4.90,4.800000000000000000,5,1,24.00,5,100.00,0.00,0.00
29-September-2020,5.15,5.15,5.15,5.15,5.000000000000000000,1,1,5.00,1,100.00,0.00,0.00
28-September-2020,5.42,5.42,5.42,5.42,5.400000000000000000,10,1,54.00,10,100.00,0.00,0.00
25-September-2020,5.70,5.70,5.42,5.70,5.666666666666666666,108,3,612.00,98,90.74,0.28,0.00
23-September-2020,5.70,5.70,5.70,5.70,5.500000000000000000,2,1,11.00,2,100.00,0.00,0.00
11-September-2020,5.70,5.70,5.70,5.70,5.700000000000000000,50,1,285.00,50,100.00,0.00,0.00
4-September-2020,6.00,6.00,6.00,6.00,6.000000000000000000,50,1,300.00,50,100.00,0.00,0.00
1-September-2020,6.08,6.08,6.08,6.08,6.080000000000000000,25,2,152.00,25,100.00,0.00,0.00
21-August-2020,6.03,6.03,6.03,6.03,6.030000000000000000,100,1,603.00,100,100.00,0.00,0.00
19-August-2020,6.00,6.03,6.00,6.03,6.012000000000000000,250,2,1503.00,250,100.00,0.03,0.03
17-August-2020,6.00,6.00,6.00,6.00,6.000000000000000000,50,2,300.00,50,100.00,0.00,0.00
14-August-2020,5.90,5.90,5.90,5.90,5.900000000000000000,100,2,590.00,100,100.00,0.00,0.00
13-August-2020,5.70,5.70,5.70,5.70,5.700000000000000000,50,1,285.00,50,100.00,0.00,0.00
11-August-2020,5.43,5.43,5.43,5.43,5.420000000000000000,50,2,271.00,50,100.00,0.00,0.00
6-August-2020,5.71,5.71,5.71,5.71,5.705882352941176470,221,1,1261.00,221,100.00,0.00,0.00
5-August-2020,5.88,5.88,5.88,5.88,5.880000000000000000,50,1,294.00,50,100.00,0.00,0.00
31-July-2020,5.57,5.60,5.57,5.60,5.595000000000000000,6000,3,33570.00,6000,100.00,0.03,0.03
29-July-2020,5.30,5.82,5.30,5.82,5.641891891891891891,148,2,835.00,148,100.00,0.52,0.52
28-July-2020,5.84,5.84,5.55,5.55,5.646666666666666666,150,2,847.00,150,100.00,0.29,-0.29
23-July-2020,5.84,5.84,5.84,5.84,5.839909674352270026,8414,2,49137.00,8414,100.00,0.00,0.00
16-July-2020,6.09,6.09,6.09,6.09,6.080000000000000000,50,1,304.00,50,100.00,0.00,0.00
10-July-2020,6.39,6.39,6.39,6.39,6.382352941176470588,34,1,217.00,34,100.00,0.00,0.00
6-July-2020,6.72,6.72,6.72,6.72,6.720000000000000000,150,3,1008.00,150,100.00,0.00,0.00
2-July-2020,7.00,7.00,6.65,6.72,6.720000000000000000,50,2,336.00,50,100.00,0.35,-0.28
30-June-2020,7.10,7.10,7.00,7.00,7.033333333333333333,150,2,1055.00,150,100.00,0.10,-0.10
29-June-2020,7.00,7.00,7.00,7.00,7.000000000000000000,49,1,343.00,49,100.00,0.00,0.00
26-June-2020,7.13,7.13,7.13,7.13,7.120000000000000000,50,1,356.00,50,100.00,0.00,0.00
9-June-2020,7.50,7.50,7.50,7.50,7.444444444444444444,9,1,67.00,9,100.00,0.00,0.00
3-June-2020,7.80,7.89,7.80,7.89,7.833333333333333333,90,2,705.00,90,100.00,0.09,0.09
5-May-2020,7.89,7.89,7.89,7.89,7.000000000000000000,1,1,7.00,1,100.00,0.00,0.00
13-April-2020,8.30,8.30,8.30,8.30,8.296774193548387096,155,2,1286.00,155,100.00,0.00,0.00
19-February-2020,8.30,8.30,8.30,8.30,8.300000000000000000,100,2,830.00,100,100.00,0.00,0.00
