Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,14.95,14.95,13.51,14.75,14.392424242424242424,3960,15,56994.00,2958,74.70,1.44,-0.20
4-January-2021,14.79,14.95,14.20,14.86,14.811569655711540340,30701,36,454730.00,21171,68.96,0.75,0.07
1-January-2021,14.95,14.95,13.00,14.10,13.711535597259457849,26856,25,368237.00,20193,75.19,1.95,-0.85
31-December-2020,14.10,14.89,14.00,14.01,14.009744214372716199,13136,19,184032.00,13048,99.33,0.89,-0.09
30-December-2020,14.35,14.35,14.05,14.29,14.229641539771115104,42292,26,601800.00,34758,82.19,0.30,-0.06
29-December-2020,14.35,14.35,13.52,14.35,14.248602379163077148,54557,54,777361.00,50669,92.87,0.83,0.00
28-December-2020,14.10,14.79,13.70,14.02,14.135564499046812116,56652,49,800808.00,51701,91.26,1.09,-0.08
24-December-2020,14.90,14.90,14.20,14.88,14.898006388368763079,9079,15,135259.00,9053,99.71,0.70,-0.02
23-December-2020,14.30,14.90,14.30,14.90,14.899135446685878962,1388,7,20680.00,1386,99.86,0.60,0.60
22-December-2020,14.10,14.90,14.05,14.90,14.501946708845358316,16438,24,238383.00,12970,78.90,0.85,0.80
21-December-2020,15.10,15.10,14.50,14.89,14.788171167220098991,15961,29,236034.00,15911,99.69,0.60,-0.21
18-December-2020,15.00,15.15,14.40,14.90,14.993103663483742120,64092,62,960938.00,63989,99.84,0.75,-0.10
17-December-2020,15.40,15.40,13.65,15.00,15.065899635612429346,174265,120,2625459.00,150301,86.25,1.75,-0.40
16-December-2020,15.55,15.60,15.10,15.16,15.412115847292205728,132174,79,2037081.00,129172,97.73,0.50,-0.39
15-December-2020,15.10,16.80,15.01,15.97,15.802151167044706226,68335,66,1079840.00,44874,65.67,1.79,0.87
14-December-2020,16.20,16.20,15.01,15.82,15.644656500260808198,65182,55,1019750.00,55441,85.06,1.19,-0.38
11-December-2020,15.84,16.45,15.84,16.20,16.188139413906710594,5767,13,93357.00,4267,73.99,0.61,0.36
10-December-2020,17.00,17.00,15.40,15.84,15.947395042994436014,3954,15,63056.00,3451,87.28,1.60,-1.16
9-December-2020,15.90,15.99,15.40,15.50,15.631050703820741166,55696,178,870587.00,30336,54.47,0.59,-0.40
8-December-2020,15.01,15.66,15.01,15.10,15.373464083175803402,33856,109,520484.00,3356,9.91,0.65,0.09
7-December-2020,16.49,16.49,14.31,15.01,16.384332475174696579,2719,12,44549.00,2717,99.93,2.18,-1.48
4-December-2020,15.60,15.90,14.88,15.29,15.369596168780740357,15452,24,237491.00,11332,73.34,1.02,-0.31
3-December-2020,16.50,16.50,15.59,15.66,15.698366739391962155,49043,28,769895.00,38576,78.66,0.91,-0.84
2-December-2020,16.99,16.99,15.99,16.40,16.375952582557154953,3543,16,58020.00,3168,89.42,1.00,-0.59
1-December-2020,16.76,16.76,15.65,16.31,15.952064429907856791,28434,35,453581.00,18962,66.69,1.11,-0.45
27-November-2020,16.12,16.68,15.32,15.97,15.643325271613137679,79801,135,1248353.00,44800,56.14,1.36,-0.15
26-November-2020,15.00,16.14,14.81,15.89,15.443817249851732610,94424,690,1458267.00,60615,64.19,1.33,0.89
25-November-2020,15.31,16.00,15.16,15.38,15.474585982047854200,36653,98,567190.00,8123,22.16,0.84,0.07
