,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,220.770004,251.520004,218.740005,249.279999,249.279999,50387700,0
1,01-06-2018,250.550003,258.910004,235.869995,243.809998,243.809998,77869600,2.022435507
2,01-07-2018,241.050003,263.829987,239.600006,244.679993,244.679993,53726000,1.996444356
3,01-08-2018,245,269.959991,243.710007,263.51001,263.51001,54731400,1.92854155
4,01-09-2018,263.670013,277.609985,254.539993,269.950012,269.950012,60666000,1.976143724
5,01-10-2018,271.76001,277.029999,231.699997,245.759995,245.759995,106809200,2.098429433
6,01-11-2018,245.690002,254.130005,207.020004,250.889999,250.889999,81375200,1.979552776
7,01-12-2018,260.709991,260.720001,204.949997,226.240005,226.240005,96434700,2.108955063
8,01-01-2019,219.910004,250.679993,215.149994,247.820007,247.820007,68179500,1.912920663
9,01-02-2019,247.820007,266.23999,246.100006,262.5,262.5,51021600,1.944076217
10,01-03-2019,265.75,269.799988,249.100006,266.48999,266.48999,71777300,1.985027618
11,01-04-2019,269.850006,291.709991,263.720001,289.25,289.25,46806300,1.921313708
12,01-05-2019,291,291,267.220001,270.899994,270.899994,49495900,2.067737196
13,01-06-2019,270.51001,304,257.459991,294.649994,294.649994,67824600,1.919395892
14,01-07-2019,299.549988,313.109985,295.109985,298.859985,298.859985,42485900,1.985913166
15,01-08-2019,299.149994,304.98999,276.779999,284.51001,284.51001,50861900,2.050437505
16,01-09-2019,284.25,289.589996,267.730011,276.25,276.25,65687900,2.029900489
17,01-10-2019,278.98999,281.51001,259.570007,277.929993,277.929993,60800200,1.993955338
18,01-11-2019,279.140015,310,276.049988,309.529999,309.529999,44658300,1.897909714
19,01-12-2019,309.220001,332.880005,297.320007,329.809998,329.809998,51088000,1.938510054
20,01-01-2020,330,356.820007,328.190002,351.140015,351.140015,44249000,1.939254952
21,01-02-2020,353.410004,386.75,324,345.119995,345.119995,56917400,2.017443266
22,01-03-2020,349.809998,364.950012,255.130005,318.23999,318.23999,126565500,2.084464573
23,01-04-2020,307,356.230011,289.709991,353.640015,353.640015,73072600,1.899898135
24,01-05-2020,347.23999,391.269989,340,386.600006,386.600006,55543400,1.914743946
25,01-06-2020,387.079987,446.149994,382,435.309998,435.309998,70625900,1.888102749
26,01-07-2020,434.799988,470.609985,416.290009,444.320007,444.320007,54648800,1.979721802
27,01-08-2020,449.839996,533.700012,431.589996,513.390015,513.390015,54517800,1.865462892
28,01-09-2020,515,536.880005,452.519989,490.429993,490.429993,84770900,2.046816105
29,01-10-2020,497.429993,519.599976,442.51001,447.100006,447.100006,48077600,2.096913412
30,01-11-2020,451,502.529999,438.940002,478.470001,478.470001,53547100,1.934436861
31,01-12-2020,482.01001,506.920013,468.820007,500.119995,500.119995,54981800,1.956710401
