Student,Midterm 1,Midterm 2
Student #1,81,96
Student #2,73,94
Student #3,89,110
Student #4,105,98
Student #5,71,107
Student #6,89,107
Student #7,97,94
Student #8,85,90
Student #9,79,105
Student #10,61,84
Student #11,65,64
Student #12,85,93
Student #13,81,94
Student #14,49,73
Student #15,75,88
Student #16,85,89
Student #17,89,109
